Mito_Label,ROI_Area_px2,Cristae_Count,Line_Length_px,Density_per_1000px2
00079-08779,26472.090,0,0.000,0.000
00102-08911,87635.449,5,120.941,0.057
00179-08782,33520.935,4,78.839,0.119
00225-08556,48021.262,5,99.233,0.104
00263-09398,82814.533,0,0.000,0.000
00423-07922,133112.040,12,191.907,0.090
00489-08163,274427.154,17,303.819,0.062
00593-06909,225793.882,14,255.368,0.062
00626-04223,109393.993,6,111.411,0.055
00690-09549,122348.191,0,0.000,0.000
00723-12698,108808.826,6,106.688,0.055
00749-08410,67090.186,5,117.216,0.075
00760-11125,89170.841,0,0.000,0.000
00764-06121,189186.058,0,0.000,0.000
00783-09542,21887.388,0,0.000,0.000
00821-03718,73269.334,5,106.800,0.068
00860-02100,1067226.254,27,583.536,0.025
00864-09131,13625.261,0,0.000,0.000
00895-13125,179699.912,8,163.681,0.045
00912-05165,245791.557,0,0.000,0.000
00948-03484,433592.541,10,202.193,0.023
01016-11432,56847.082,5,124.403,0.088
01047-07639,118611.713,6,170.237,0.051
01064-02589,74949.675,5,101.199,0.067
01095-06804,111444.761,0,0.000,0.000
01106-03738,72265.424,0,0.000,0.000
01139-07420,121231.543,0,0.000,0.000
01185-02445,194538.456,0,0.000,0.000
01276-10904,182947.857,0,0.000,0.000
01341-03915,144278.527,0,0.000,0.000
01386-11382,229986.683,9,190.193,0.039
01446-11583,239982.837,0,0.000,0.000
01556-13655,217155.960,12,296.169,0.055
01571-07712,83040.010,0,0.000,0.000
01586-08994,239617.778,0,0.000,0.000
01745-12069,100342.696,4,85.608,0.040
01781-08916,58602.583,4,93.752,0.068
01878-13471,63767.083,5,103.809,0.078
02026-06759,842731.550,23,517.004,0.027
02037-10997,130615.686,0,0.000,0.000
02046-13789,70681.715,5,111.768,0.071
02078-12826,136617.673,0,0.000,0.000
02105-03217,604214.314,0,0.000,0.000
02131-07673,538036.774,0,0.000,0.000
02171-12130,66553.336,0,0.000,0.000
02299-05248,115701.984,0,0.000,0.000
02327-12350,120871.853,0,0.000,0.000
02421-03367,252212.287,12,241.532,0.048
02521-08191,938897.550,22,555.990,0.023
02567-12628,182878.066,0,0.000,0.000
02606-06476,80613.446,0,0.000,0.000
02625-03363,88832.625,0,0.000,0.000
02670-07057,62972.544,4,109.225,0.064
02745-04450,142195.548,6,111.309,0.042
02750-08511,49400.968,0,0.000,0.000
02769-11142,262766.765,0,0.000,0.000
02822-03222,27250.523,0,0.000,0.000
02828-05186,214847.504,0,0.000,0.000
02874-03344,61055.989,4,88.586,0.066
02882-11040,241384.016,4,78.568,0.017
02885-03137,64572.358,5,84.513,0.077
02906-13962,87844.820,6,113.036,0.068
02974-11349,46765.033,4,78.865,0.086
02991-13708,57856.361,0,0.000,0.000
03001-04533,56090.123,0,0.000,0.000
03225-05994,44896.793,4,67.511,0.089
03317-05591,28834.231,0,0.000,0.000
03472-07040,49035.910,0,0.000,0.000
03472-10908,203369.644,11,184.315,0.054
03473-07463,243472.364,17,303.383,0.070
03517-04259,80892.608,5,109.441,0.062
03555-07281,158998.964,0,0.000,0.000
03573-10563,332825.733,0,0.000,0.000
03601-06224,111578.974,0,0.000,0.000
03624-13548,104653.604,0,0.000,0.000
03633-11127,207637.604,7,128.701,0.034
03729-04967,113661.953,7,131.018,0.062
03761-09593,109152.410,0,0.000,0.000
03805-06290,66558.704,4,106.503,0.060
03807-09329,498959.438,15,279.866,0.030
03861-09824,410459.660,0,0.000,0.000
03959-03437,277417.410,0,0.000,0.000
03974-04044,116920.634,5,126.822,0.043
04113-10411,305521.525,0,0.000,0.000
04117-06213,230373.216,13,285.394,0.056
04141-05684,83936.550,0,0.000,0.000
04167-05868,38250.586,0,0.000,0.000
04171-12337,231752.921,0,0.000,0.000
04269-08074,121768.393,10,249.756,0.082
04454-03180,214520.025,11,313.464,0.051
04479-06190,85525.627,7,136.541,0.082
04608-08580,369025.551,12,288.016,0.033
04613-02978,71599.729,0,0.000,0.000
04691-03909,60197.028,5,97.141,0.083
04736-05764,107890.812,0,0.000,0.000
04763-04401,175356.793,0,0.000,0.000
05001-12232,192799.061,11,213.235,0.057
05004-10403,105185.086,5,109.034,0.048
05064-01642,148723.648,0,0.000,0.000
05068-10621,82240.103,0,0.000,0.000
05154-12340,45084.691,4,78.341,0.089
05158-06230,171126.413,0,0.000,0.000
05182-05136,114129.013,0,0.000,0.000
05339-13992,92144.991,6,120.856,0.065
05351-02453,139854.881,7,189.037,0.050
05450-14164,80409.443,4,105.860,0.050
05628-02070,73382.072,7,157.725,0.095
05724-01854,206333.058,0,0.000,0.000
05891-00983,420541.710,25,614.193,0.059
05913-12273,54388.307,5,94.138,0.092
05950-02170,78557.309,6,118.597,0.076
05952-12492,209581.002,0,0.000,0.000
06062-11311,843305.979,0,0.000,0.000
06124-01737,385184.746,17,175.513,0.044
06203-00980,249173.714,0,0.000,0.000
06205-12373,269976.665,16,313.600,0.059
06353-02842,541945.044,0,0.000,0.000
06388-01303,156373.765,6,239.244,0.038
06474-13166,114601.441,11,206.480,0.096
06512-08338,57834.887,4,81.086,0.069
06679-01258,71814.469,7,142.207,0.097
06690-12781,168576.374,10,218.270,0.059
06722-08318,116840.107,0,0.000,0.000
06727-10879,27771.268,0,0.000,0.000
06735-02869,115959.672,0,0.000,0.000
06804-10730,46523.450,0,0.000,0.000
06829-10879,50490.774,0,0.000,0.000
06834-10498,58264.367,0,0.000,0.000
06873-10389,34771.796,4,82.360,0.115
06880-11277,239961.362,0,0.000,0.000
06927-03039,69608.014,5,112.508,0.072
06966-08217,236922.790,17,333.362,0.072
07069-13590,133520.047,8,192.751,0.060
07173-04427,37515.101,0,0.000,0.000
07266-13320,102082.091,0,0.000,0.000
07493-03588,92257.730,0,0.000,0.000
07500-11013,79937.015,7,134.727,0.088
07503-01353,36946.040,5,105.826,0.135
07532-10502,198886.943,0,0.000,0.000
